PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68502,M Leraar Voorbereidend Hoger Onderwijs in Biologie,voltijd onderwijs,master,wo postmaster,4,8,6,5,7,10,2,5,8,9
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68503,M Leraar Voorbereidend Hoger Onderwijs in Duits,deeltijd onderwijs,master,wo postmaster,0,1,1,0,0,1,0,1,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68503,M Leraar Voorbereidend Hoger Onderwijs in Duits,voltijd onderwijs,master,wo postmaster,1,1,1,1,0,2,1,1,0,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68504,M Leraar Voorbereidend Hoger Onderwijs in Engels,deeltijd onderwijs,master,wo postmaster,2,3,1,1,1,1,1,2,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68504,M Leraar Voorbereidend Hoger Onderwijs in Engels,voltijd onderwijs,master,wo postmaster,3,18,8,11,2,7,3,22,3,12
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68505,M Leraar Voorbereidend Hoger Onderwijs in Filosofie,deeltijd onderwijs,master,wo postmaster,1,0,0,1,1,2,0,1,0,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68505,M Leraar Voorbereidend Hoger Onderwijs in Filosofie,voltijd onderwijs,master,wo postmaster,0,1,0,0,2,1,2,0,1,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68506,M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting,deeltijd onderwijs,master,wo postmaster,2,1,2,0,1,1,2,2,3,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68506,M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting,voltijd onderwijs,master,wo postmaster,11,7,10,3,12,4,8,7,9,7
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68507,M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing,deeltijd onderwijs,master,wo postmaster,0,1,0,1,1,0,0,0,0,1
