province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,male,female
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,deeltijd onderwijs,bachelor,2014,30,61
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,deeltijd onderwijs,bachelor,2015,23,37
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,deeltijd onderwijs,bachelor,2016,14,25
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,2012,545,887
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,2013,494,825
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,2014,459,783
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,2015,422,695
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,voltijd onderwijs,bachelor,2016,408,629
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,deeltijd onderwijs,bachelor,2012,1,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,deeltijd onderwijs,bachelor,2013,2,6
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,deeltijd onderwijs,bachelor,2014,2,4
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,deeltijd onderwijs,bachelor,2015,0,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,deeltijd onderwijs,bachelor,2016,0,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,voltijd onderwijs,bachelor,2012,33,64
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,voltijd onderwijs,bachelor,2013,29,70
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,voltijd onderwijs,bachelor,2014,26,82
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,voltijd onderwijs,bachelor,2015,30,79
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),56828,B Notarieel Recht,voltijd onderwijs,bachelor,2016,32,82
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60072,M International Business Law,voltijd onderwijs,master,2012,4,19
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60072,M International Business Law,voltijd onderwijs,master,2013,5,13
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60072,M International Business Law,voltijd onderwijs,master,2014,9,21
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60072,M International Business Law,voltijd onderwijs,master,2015,13,29
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60072,M International Business Law,voltijd onderwijs,master,2016,14,27
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,deeltijd onderwijs,master,2012,13,22
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,deeltijd onderwijs,master,2013,12,24
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,deeltijd onderwijs,master,2014,11,24
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,deeltijd onderwijs,master,2015,14,36
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,deeltijd onderwijs,master,2016,15,31
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,voltijd onderwijs,master,2012,186,381
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,voltijd onderwijs,master,2013,196,431
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,voltijd onderwijs,master,2014,187,450
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,voltijd onderwijs,master,2015,192,482
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60084,M Rechtsgeleerdheid,voltijd onderwijs,master,2016,180,522
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60408,M Ondernemingsrecht,voltijd onderwijs,master,2012,22,15
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60408,M Ondernemingsrecht,voltijd onderwijs,master,2013,24,18
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60408,M Ondernemingsrecht,voltijd onderwijs,master,2014,20,19
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60408,M Ondernemingsrecht,voltijd onderwijs,master,2015,32,41
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60408,M Ondernemingsrecht,voltijd onderwijs,master,2016,39,33
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60685,M Law and Politics of International Security,voltijd onderwijs,master,2012,12,29
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60685,M Law and Politics of International Security,voltijd onderwijs,master,2013,17,29
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60685,M Law and Politics of International Security,voltijd onderwijs,master,2014,10,25
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60685,M Law and Politics of International Security,voltijd onderwijs,master,2015,12,32
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),60685,M Law and Politics of International Security,voltijd onderwijs,master,2016,18,29
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66724,M International Crimes and Criminology,voltijd onderwijs,master,2012,3,29
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66724,M International Crimes and Criminology,voltijd onderwijs,master,2013,4,33
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66724,M International Crimes and Criminology,voltijd onderwijs,master,2014,9,30
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66724,M International Crimes and Criminology,voltijd onderwijs,master,2015,8,34
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66724,M International Crimes and Criminology,voltijd onderwijs,master,2016,6,36
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,deeltijd onderwijs,master,2012,1,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,deeltijd onderwijs,master,2013,2,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,deeltijd onderwijs,master,2014,3,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,deeltijd onderwijs,master,2015,5,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,deeltijd onderwijs,master,2016,12,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,2012,37,27
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,2013,74,42
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,2014,89,41
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,2015,85,42
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66827,M Fiscaal Recht,voltijd onderwijs,master,2016,87,68
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,deeltijd onderwijs,master,2012,1,6
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,deeltijd onderwijs,master,2013,1,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,deeltijd onderwijs,master,2014,1,7
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,deeltijd onderwijs,master,2015,1,5
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,deeltijd onderwijs,master,2016,0,8
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,voltijd onderwijs,master,2012,7,31
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,voltijd onderwijs,master,2013,4,22
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,voltijd onderwijs,master,2014,10,19
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,voltijd onderwijs,master,2015,13,22
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),66828,M Notarieel Recht,voltijd onderwijs,master,2016,12,24
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,54999,"B Philosophy, Politics and Economics",voltijd onderwijs,bachelor,2012,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,54999,"B Philosophy, Politics and Economics",voltijd onderwijs,bachelor,2013,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,54999,"B Philosophy, Politics and Economics",voltijd onderwijs,bachelor,2014,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,54999,"B Philosophy, Politics and Economics",voltijd onderwijs,bachelor,2015,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,54999,"B Philosophy, Politics and Economics",voltijd onderwijs,bachelor,2016,25,18
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,55002,B Liberal Arts and Sciences (joint degree),voltijd onderwijs,bachelor,2012,115,193
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,55002,B Liberal Arts and Sciences (joint degree),voltijd onderwijs,bachelor,2013,114,209
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,55002,B Liberal Arts and Sciences (joint degree),voltijd onderwijs,bachelor,2014,123,229
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,sectoroverstijgend,sectoroverstijgend,55002,B Liberal Arts and Sciences (joint degree),voltijd onderwijs,bachelor,2015,129,219
