PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;bachelor;66;15;81;22;93;22;100;16;109;16
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;propedeuse bachelor;95;19;120;18;134;13;120;20;104;25
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;bachelor;35;59;36;58;32;51;30;48;39;36
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;propedeuse bachelor;30;43;46;47;37;33;46;37;50;56
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60255;M Information Sciences;voltijd onderwijs;master;35;1;36;5;32;5;36;4;44;2
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60303;M Molecular Life Sciences;voltijd onderwijs;master;0;0;0;0;38;47;37;62;37;65
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60322;M Molecular Mechanisms of Disease (research);voltijd onderwijs;master;16;23;11;30;8;38;10;36;12;34
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60364;M Computing Science;voltijd onderwijs;master;0;0;0;0;89;10;95;11;110;13
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60506;M Cognitive Neuroscience (research);voltijd onderwijs;master;33;55;30;72;28;80;44;78;45;91
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60610;M Medical Biology;voltijd onderwijs;master;42;74;44;82;61;102;73;128;101;140
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60810;M Environmental Sciences;voltijd onderwijs;master;5;7;4;5;1;1;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66857;M Chemistry;voltijd onderwijs;master;76;27;72;22;65;19;74;23;73;24
